municipio;lat;lng;url_maps
LOURENZA;43.460908082092885;-7.2874272533415905;https://www.google.com/maps?q=...843.460908082092885,-7.2874272533415905
LOUSAME;42.77889400019492;-8.83464366294854;https://www.google.com/maps?q=...842.77889400019492,-8.83464366294854
LUGO;43.01095745548157;-7.567669475346804;https://www.google.com/maps?q=...843.01095745548157,-7.567669475346804
MACEDA;42.2580080498534;-7.60128828581598;https://www.google.com/maps?q=...842.2580080498534,-7.60128828581598
MALPICA DE BERGANTINOS;43.28977003061251;-8.84223056183465;https://www.google.com/maps?q=...843.28977003061251,-8.84223056183465
MANON;43.6266037926031;-7.747890253559479;https://www.google.com/maps?q=...843.6266037926031,-7.747890253559479
MANZANEDA;42.28075048117412;-7.240052272111919;https://www.google.com/maps?q=...842.28075048117412,-7.240052272111919
MARIN;42.34371921627962;-8.690326676127865;https://www.google.com/maps?q=...842.34371921627962,-8.690326676127865
MASIDE;42.42225985895255;-8.016309806410543;https://www.google.com/maps?q=...842.42225985895255,-8.016309806410543
MAZARICOS;42.93475713978711;-9.004291894158648;https://www.google.com/maps?q=...842.93475713978711,-9.004291894158648
MEANO;42.45355904053122;-8.77692534078279;https://www.google.com/maps?q=...842.45355904053122,-8.77692534078279
MEIRA;43.22168080547426;-7.273383172809417;https://www.google.com/maps?q=...843.22168080547426,-7.273383172809417
MEIS;42.49228473027814;-8.735075889761822;https://www.google.com/maps?q=...842.49228473027814,-8.735075889761822
MELIDE;42.93057485615344;-8.016611772005971;https://www.google.com/maps?q=...842.93057485615344,-8.016611772005971
MELON;42.291788878000574;-8.219719806211545;https://www.google.com/maps?q=...842.291788878000574,-8.219719806211545
MESIA;43.10689236619817;-8.2570385837324;https://www.google.com/maps?q=...843.10689236619817,-8.2570385837324
MINO;43.37429216664552;-8.192835782447583;https://www.google.com/maps?q=...843.37429216664552,-8.192835782447583
MOANA;42.32744605051329;-8.712558530817644;https://www.google.com/maps?q=...842.32744605051329,-8.712558530817644
MOECHE;43.53254070536678;-8.004560081932308;https://www.google.com/maps?q=...843.53254070536678,-8.004560081932308
MONDARIZ;42.25830649993234;-8.455264620249526;https://www.google.com/maps?q=...842.25830649993234,-8.455264620249526
MONDARIZ-BALNEARIO;42.22350285568547;-8.472988906069656;https://www.google.com/maps?q=...842.22350285568547,-8.472988906069656
MONDONEDO;43.436780115973036;-7.3506800395548;https://www.google.com/maps?q=...843.436780115973036,-7.3506800395548
MONFERO;43.3159812484709;-8.081063461645023;https://www.google.com/maps?q=...843.3159812484709,-8.081063461645023
MONFORTE DE LEMOS;42.52724223745145;-7.4838152108836855;https://www.google.com/maps?q=...842.52724223745145,-7.4838152108836855
MONTEDERRAMO;42.29312316812814;-7.520502211669968;https://www.google.com/maps?q=...842.29312316812814,-7.520502211669968
MONTERREI;41.96597086483153;-7.561256329110963;https://www.google.com/maps?q=...841.96597086483153,-7.561256329110963
MONTERROSO;42.83129879441007;-7.787303875274552;https://www.google.com/maps?q=...842.83129879441007,-7.787303875274552
MORANA;42.57840020426996;-8.590296593877536;https://www.google.com/maps?q=...842.57840020426996,-8.590296593877536
MOS;42.20725019710542;-8.630303831136361;https://www.google.com/maps?q=...842.20725019710542,-8.630303831136361
MUGARDOS;43.45795396703214;-8.220388440583772;https://www.google.com/maps?q=...843.45795396703214,-8.220388440583772
MUINOS;41.952763969469814;-7.944029800614633;https://www.google.com/maps?q=...841.952763969469814,-7.944029800614633
MURAS;43.47391145979205;-7.694569801456715;https://www.google.com/maps?q=...843.47391145979205,-7.694569801456715
MUROS;42.81116864745091;-9.021757703169747;https://www.google.com/maps?q=...842.81116864745091,-9.021757703169747
MUXIA;43.05644344357761;-9.206157688419067;https://www.google.com/maps?q=...843.05644344357761,-9.206157688419067
NARON;43.53786631381024;-8.17499910285234;https://www.google.com/maps?q=...843.53786631381024,-8.17499910285234
NAVIA DE SUARNA;42.97921401569541;-6.992563877472046;https://www.google.com/maps?q=...842.97921401569541,-6.992563877472046
NEDA;43.50779974423211;-8.125042413525769;https://www.google.com/maps?q=...843.50779974423211,-8.125042413525769
NEGREIRA;42.913579553021194;-8.810205484037574;https://www.google.com/maps?q=...842.913579553021194,-8.810205484037574
NEGUEIRA DE MUNIZ;43.14072645597474;-6.877376237463917;https://www.google.com/maps?q=...843.14072645597474,-6.877376237463917
NIGRAN;42.14446241881305;-8.77365051075643;https://www.google.com/maps?q=...842.14446241881305,-8.77365051075643
NOGUEIRA DE RAMUIN;42.41060632989215;-7.728319612033129;https://www.google.com/maps?q=...842.41060632989215,-7.728319612033129
NOIA;42.79889198275029;-8.87341656649222;https://www.google.com/maps?q=...842.79889198275029,-8.87341656649222
OIA;42.02095344024327;-8.838078651384937;https://www.google.com/maps?q=...842.02095344024327,-8.838078651384937
OIMBRA;41.89469423626635;-7.5268240068444365;https://www.google.com/maps?q=...841.89469423626635,-7.5268240068444365
OLEIROS;43.37038574790769;-8.327735398909672;https://www.google.com/maps?q=...843.37038574790769,-8.327735398909672
ORDES;43.10816528805361;-8.40323755100383;https://www.google.com/maps?q=...843.10816528805361,-8.40323755100383
OROSO;43.00287083711041;-8.402975072678567;https://www.google.com/maps?q=...843.00287083711041,-8.402975072678567
ORTIGUEIRA;43.62152512384404;-7.830867079917993;https://www.google.com/maps?q=...843.62152512384404,-7.830867079917993
OTRA PROVINCIA;42.53227195757975;-7.1669577588695015;https://www.google.com/maps?q=...842.53227195757975,-7.1669577588695015
OURENSE;42.35024880448896;-7.877942265812163;https://www.google.com/maps?q=...842.35024880448896,-7.877942265812163
OUROL;43.56495403964042;-7.669162474895772;https://www.google.com/maps?q=...843.56495403964042,-7.669162474895772
OUTEIRO DE REI;43.09476911906209;-7.6345205060489505;https://www.google.com/maps?q=...843.09476911906209,-7.6345205060489505
OUTES;42.868622277431115;-8.897116245095507;https://www.google.com/maps?q=...842.868622277431115,-8.897116245095507
OZA DOS RIOS;43.19875172411424;-8.145012400272641;https://www.google.com/maps?q=...843.19875172411424,-8.145012400272641
OZA-CESURAS;43.20169541484777;-8.14261759859663;https://www.google.com/maps?q=...843.20169541484777,-8.14261759859663
PADERNE;43.29573848747511;-8.17634912869708;https://www.google.com/maps?q=...843.29573848747511,-8.17634912869708
PADERNE DE ALLARIZ;42.28354554229533;-7.759553934807238;https://www.google.com/maps?q=...842.28354554229533,-7.759553934807238
PADRENDA;42.126497897287194;-8.16069861807096;https://www.google.com/maps?q=...842.126497897287194,-8.16069861807096
PADRON;42.763797224598264;-8.635700419919342;https://www.google.com/maps?q=...842.763797224598264,-8.635700419919342
PALAS DE REI;42.90399496343213;-7.891014720009944;https://www.google.com/maps?q=...842.90399496343213,-7.891014720009944
PANTON;42.499817714226566;-7.653086632690846;https://www.google.com/maps?q=...842.499817714226566,-7.653086632690846
PARADA DE SIL;42.370339004303226;-7.558082019217096;https://www.google.com/maps?q=...842.370339004303226,-7.558082019217096
PARADELA;42.73815230746991;-7.587123888615833;https://www.google.com/maps?q=...842.73815230746991,-7.587123888615833
